[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | INFO: Run ContentReplace Behavior [ RunTime:0.000386s ]
[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | INFO: Run TokenBuild Behavior [ RunTime:0.000293s ]
[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000222s ]
[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | INFO: Run ShowRuntime Behavior [ RunTime:0.000390s ]
[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001444s ]
[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | INFO: Tag[ view_end ] --START--
[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | INFO: Run ShowPageTrace Behavior [ RunTime:0.002214s ]
[ 2012-03-11T17:43:45+08:00 ] /index.php/Home | INFO: Tag[ view_end ] --END-- [ RunTime:0.002284s ]
[ 2012-03-11T17:43:59+08:00 ] /index.php/Photo/add | ERR: (ThinkException) 无法加载模块Photo
[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | INFO: Tag[ route_check ] --START--
[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | INFO: Run CheckRoute Behavior [ RunTime:0.000659s ]
[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | INFO: Tag[ route_check ] --END-- [ RunTime:0.000736s ]
[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | INFO: Tag[ app_begin ] --START--
[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000421s ]
[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000484s ]
[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | NOTIC: [4096] Object of class HomeAction could not be converted to string App.class.php 第 99 行.
[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | NOTIC: [8] Undefined variable: action App.class.php 第 125 行.
[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | INFO: Tag[ view_template ] --START--
[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | INFO: Run LocationTemplate Behavior [ RunTime:0.000314s ]
[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | INFO: Tag[ view_template ] --END-- [ RunTime:0.000368s ]
[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | INFO: Tag[ view_parse ] --START--
[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | INFO: Run ParseTemplate Behavior [ RunTime:0.011519s ]
[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011610s ]
[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | INFO: Tag[ view_filter ] --START--
[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | INFO: Run ContentReplace Behavior [ RunTime:0.000401s ]
[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | INFO: Run TokenBuild Behavior [ RunTime:0.000293s ]
[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000209s ]
[ 2012-03-11T17:44:10+08:00 ] /index.php/Home | INFO: Run ShowRuntime Behavior [ RunTime:0.000393s ]
